,Subject,RT,condition,Error,sens_comp,resp_comp
39029,21,714.14,anHCLC,0,incomp,comp
39030,21,1001.6,anHCLC,0,incomp,comp
39031,21,592.87,anHCLC,1,incomp,comp
39032,21,1092.2,anHCLC,1,incomp,comp
39033,21,862.24,anHCLC,0,incomp,comp
39034,21,1746.5,anHCLC,0,incomp,comp
39035,21,718.53,anHCLC,0,incomp,comp
39036,21,706.85,anHCLC,0,incomp,comp
39037,21,1235.7,anHCLC,0,incomp,comp
39038,21,702.5899999999998,anHCLC,0,incomp,comp
39039,21,934.56,anHCLC,0,incomp,comp
39040,21,618.6899999999998,anHCLC,0,incomp,comp
39041,21,696.57,anHCLC,0,incomp,comp
39042,21,1360.4,anHCLC,0,incomp,comp
39043,21,746.79,anHCLC,0,incomp,comp
39044,21,484.53,anHCLC,0,incomp,comp
39045,21,665.08,anHCLC,0,incomp,comp
39046,21,1474.1,anHCLC,0,incomp,comp
39047,21,834.07,anHCLC,0,incomp,comp
39048,21,714.31,anHCLC,0,incomp,comp
39049,21,624.97,anHCLC,0,incomp,comp
39050,21,865.6700000000002,anHCLC,0,incomp,comp
39051,21,622.8399999999998,anHCLC,0,incomp,comp
39052,21,903.39,anHCLC,0,incomp,comp
39053,21,672.08,anHCLC,0,incomp,comp
39054,21,1290.9,anHCLC,0,incomp,comp
39055,21,888.51,anHCLC,0,incomp,comp
39056,21,1258.8,anHCLC,0,incomp,comp
39057,21,664.7800000000002,anHCLC,1,incomp,comp
39058,21,1004.9,anHCLC,0,incomp,comp
39059,21,521.8199999999998,anHCLC,0,incomp,comp
39060,21,1428.6,anHCLC,0,incomp,comp
39061,21,885.7299999999998,anHCLC,0,incomp,comp
39062,21,863.6299999999999,anHCLC,0,incomp,comp
39063,21,1084.7,anHCLC,0,incomp,comp
39064,21,882.6500000000002,anHCLC,0,incomp,comp
39065,21,1169.2,anHCLC,0,incomp,comp
39066,21,862.62,anHCLC,0,incomp,comp
39067,21,1071.3,anHCLC,0,incomp,comp
39068,21,835.8,anHCLC,0,incomp,comp
39069,21,619.98,anHCLC,0,incomp,comp
39070,21,1111.3,anHCLC,0,incomp,comp
39071,21,932.17,anHCLC,0,incomp,comp
39072,21,599.6,anHCLC,0,incomp,comp
39073,21,907.96,anHCLC,0,incomp,comp
39074,21,826.55,anHULC,1,incomp,incomp
39075,21,669.73,anHULC,1,incomp,incomp
39076,21,444.16000000000014,anHULC,1,incomp,incomp
39077,21,518.15,anHULC,1,incomp,incomp
39078,21,403.17,anHULC,1,incomp,incomp
39079,21,763.42,anHULC,1,incomp,incomp
39080,21,560.8100000000002,anHULC,1,incomp,incomp
39081,21,495.86,anHULC,1,incomp,incomp
39082,21,537.58,anHULC,1,incomp,incomp
39083,21,571.0300000000002,anHULC,1,incomp,incomp
39084,21,518.33,anHULC,1,incomp,incomp
39085,21,546.6800000000002,anHULC,1,incomp,incomp
39086,21,693.4200000000002,anHULC,1,incomp,incomp
39087,21,439.71,anHULC,1,incomp,incomp
39088,21,644.99,anHULC,1,incomp,incomp
39089,21,670.0899999999998,anHULC,1,incomp,incomp
39090,21,1172.3,anHULC,1,incomp,incomp
39091,21,633.81,anHULC,1,incomp,incomp
39092,21,444.28,anHULC,1,incomp,incomp
39093,21,674.4200000000002,anHULC,1,incomp,incomp
39094,21,819.3600000000001,anHULC,1,incomp,incomp
39095,21,274.87,anHULC,1,incomp,incomp
39096,21,801.1,anHULC,1,incomp,incomp
39097,21,459.57,anHULC,1,incomp,incomp
39098,21,584.5500000000002,anHULC,1,incomp,incomp
39099,21,552.3100000000002,anHULC,1,incomp,incomp
39100,21,1021.3,anHULC,1,incomp,incomp
39101,21,445.11000000000007,anHULC,1,incomp,incomp
39102,21,1091.5,anHULC,1,incomp,incomp
39103,21,497.53,anHULC,1,incomp,incomp
39104,21,892.7799999999999,anHULC,1,incomp,incomp
39105,21,458.97,anHULC,1,incomp,incomp
39106,21,723.85,anHULC,1,incomp,incomp
39107,21,578.24,anHULC,1,incomp,incomp
39108,21,529.0600000000002,anHULC,1,incomp,incomp
39109,21,746.46,anHULC,1,incomp,incomp
39110,21,630.93,anHULC,1,incomp,incomp
39111,21,854.1600000000002,anHULC,1,incomp,incomp
39112,21,770.32,anHULC,1,incomp,incomp
39113,21,536.77,anHULC,0,incomp,incomp
39114,21,691.3100000000002,anHULC,1,incomp,incomp
39115,21,589.78,anHULC,1,incomp,incomp
39116,21,734.77,anHULC,1,incomp,incomp
39117,21,1217.3,anHULC,1,incomp,incomp
39118,21,1063.6,anHULC,1,incomp,incomp
39119,21,583.78,anHULC,1,incomp,incomp
39120,21,625.9399999999998,anHULC,1,incomp,incomp
39121,21,801.6399999999999,anHULC,1,incomp,incomp
39122,21,459.85,anHULC,1,incomp,incomp
39123,21,1501.9,anHULC,1,incomp,incomp
